Cidade,Cliente,ClienteId,Estado,Servico,Solucao,TipoNegocio,TipoServico,"_key",alert,"alert_time",app,category,"display_fields","duplicate_count","group_id",impact,"incident_id","job_id",owner,"preserve_owner","preserve_urgency",priority,"result_id",search,status,subcategory,tags,title,ttl,urgency
"","","","","",TESTE,"",TESTE,5f972de8984d4975eb15ccc3,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743207,"alert_manager","","",3714,,high,"63585d75-774c-4822-85b0-14945099ef1e","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.0_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,0,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| table edgeId, enterpriseId, enterpriseName, last(edgeState)",pending,"","","1 CPE (Router ou edge) DOWN for edge 505",86400,high
"","","","","",TESTE,"",TESTE,5f972de8984d4975eb15ccc5,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743208,"alert_manager","","",7217,,high,"4594af8d-1562-4fee-a704-79e0c7b5a087","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.1_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,0,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1099",86400,high
"","","","","",TESTE,"",TESTE,5f972de9984d4975eb15ccc7,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743209,"alert_manager","","",7222,,high,"de76720c-dc82-4089-b6a5-bef7a2b53804","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.2_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,0,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1101",86400,high
"","","","","",TESTE,"",TESTE,5f972de9984d4975eb15ccc9,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743209,"alert_manager","","",7211,,high,"aff0ef7d-5250-41a1-bcca-97c6a8399ced","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.1_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,1,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1102",86400,high
"","","","","",TESTE,"",TESTE,5f972dea984d4975eb15cccb,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743210,"alert_manager","","",7203,,high,"680fe4e3-58ac-4eae-a66d-617a786fce9c","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.2_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,1,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1192",86400,high
"","","","","",TESTE,"",TESTE,5f972dea984d4975eb15cccc,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743210,"alert_manager","","",7215,,high,"c290a780-7d29-498f-8f7c-f62615fb1417","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.1_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,2,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1103",86400,high
"","","","","",TESTE,"",TESTE,5f972deb984d4975eb15cccf,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743211,"alert_manager","","",845,,high,"051f4a81-d905-46e8-8f77-901545498cf9","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.2_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,2,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| table edgeId, enterpriseId, enterpriseName, last(edgeState)",new,"","","1 CPE (Router ou edge) DOWN for edge 1208",86400,high
"","","","","",TESTE,"",TESTE,5f972deb984d4975eb15ccd0,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743211,"alert_manager","","",7212,,high,"e4514287-dea6-41c0-9f08-16d663590d75","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.1_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,3,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1113",86400,high
"","","","","",TESTE,"",TESTE,5f972dec984d4975eb15ccd3,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743212,"alert_manager","","",7240,,high,"8efcaee4-9e9c-44ef-9f6e-1fe0b25153f0","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.2_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,3,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1255",86400,high
"","","","","",TESTE,"",TESTE,5f972dec984d4975eb15ccd4,"1 CPE (Router ou edge) DOWN for edge $result.edgeId$",1603743212,"alert_manager","","",7223,,high,"c84db176-05dd-4cbb-9525-33480dea6718","rt_scheduler_cmVuYW4ubWVuZXplcw_YWxlcnRfbWFuYWdlcg__RMD52ffd602dd2c2f805_at_1603743071_0.1_075639BF-D026-4CB1-BFDF-D006A13BEF04",unassigned,,,critical,4,"search index=velocloud edgeState!=CONNECTED 
| stats last(edgeState) by edgeId, enterpriseId, enterpriseName
| lookup siebel.csv SOLUCAO as description
| eval DataCriacao=strftime(now(),""%m/%d/%Y %H:%M:%S"")
| eval epochtime=strftime(now(),""%s"")
| eval IdentificacaoTTCliente=""SPLUNK-"".description.epochtime
| eval FlagProAtivo=""Y""
| eval Operacao=""Inserir""
| eval Origem=""Splunk""
| eval ServicoAfetado=SERVICO
| eval Sintoma=""Lentidao""
| eval SolutionId=description
| eval ClienteControle=CODIGO_PRIMESYS
| eval UsuarioFinal=""O edge esta indisponivel""
| eval Descricao=UsuarioFinal."" solutionId "".SolutionId
| table edgeId, enterpriseId, enterpriseName, last(edgeState), IdentificacaoTTCliente, DataCriacao, FlagProAtivo, Operacao, Origem, ServicoAfetado, Sintoma, SolutionId, ClienteControle, UsuarioFinal, Descricao",new,"","","1 CPE (Router ou edge) DOWN for edge 1115",86400,high
